id_paper,id_data,species,order,sex,genital/non-genital,organ/structure,morphological_measurement,environmental_condition,plasticity/robustness,author,title,year,journal,doi
4,1,Onthophagus taurus,Coleoptera,male,genital,aedeagus ,size,diet,robustness,Hu; Yonggang and Crabtree; Jordan R. and Macagno; Anna L. M. and Moczek; Armin P.,Histone deacetylases regulate organ-specific growth in a horned beetle,2024,EvoDevo,10.1186/s13227-024-00223-5
10,2,Gryllus lineaticeps,Orthoptera,female,non-genital,ovary ,mass,social environment,plasticity,Stahlschmidt; Zachary R. and Bui; Daniel and Chen; Jessica and Zhao; William,Availability of mates and food influence the plasticity in strategies mediating life-history tradeoffs in an insect,2024,OIKOS,10.1111/oik.10337
10,3,Gryllus lineaticeps,Orthoptera,female,non-genital,ovary ,mass,diet,plasticity,Stahlschmidt; Zachary R. and Bui; Daniel and Chen; Jessica and Zhao; William,Availability of mates and food influence the plasticity in strategies mediating life-history tradeoffs in an insect,2024,OIKOS,10.1111/oik.10337
11,4,Apis mellifera,Hymenoptera,female,non-genital,ovary ,size,caste,plasticity,Roth; Annika and Vleurinck; Christina and Netschitailo; Oksana and Bauer; Vivien and Otte; Marianne and Kaftanoglu; Osman and Page; Robert E. and Beye; Martin,A genetic switch for worker nutrition-mediated traits in honeybees,2019,PLOS BIOLOGY,10.1371/journal.pbio.3000171
12,5,Drosophila melanogaster,Diptera,male,non-genital,testicle,size,social environment,plasticity,Morimoto; Juliano and Barcellos; Renan and Schoborg; Todd A. and Nogueira; Liebert Parreiras and Colaco; Marcos Vinicius,Assessing Anatomical Changes in Male Reproductive Organs in Response to Larval Crowding Using Micro-computed Tomography Imaging,2022,NEOTROPICAL ENTOMOLOGY,10.1007/s13744-022-00976-5
12,6,Drosophila melanogaster,Diptera,male,genital,ejaculatory duct,size,social environment,plasticity,Morimoto; Juliano and Barcellos; Renan and Schoborg; Todd A. and Nogueira; Liebert Parreiras and Colaco; Marcos Vinicius,Assessing Anatomical Changes in Male Reproductive Organs in Response to Larval Crowding Using Micro-computed Tomography Imaging,2022,NEOTROPICAL ENTOMOLOGY,10.1007/s13744-022-00976-5
12,7,Drosophila melanogaster,Diptera,male,non-genital,accessory gland,size,social environment,plasticity,Morimoto; Juliano and Barcellos; Renan and Schoborg; Todd A. and Nogueira; Liebert Parreiras and Colaco; Marcos Vinicius,Assessing Anatomical Changes in Male Reproductive Organs in Response to Larval Crowding Using Micro-computed Tomography Imaging,2022,NEOTROPICAL ENTOMOLOGY,10.1007/s13744-022-00976-5
13,8,Drosophila suzukii,Diptera,male,non-genital,testicle,size,temperature,plasticity,Faria; Flavio Silva and Areal; Mariana and Bitner-Mathe; Blanche Christine,Thermal Stress and Adult Fitness in a <i>Drosophila suzukii</i> Neotropical Propagule,2023,NEOTROPICAL ENTOMOLOGY,10.1007/s13744-023-01075-9
13,9,Drosophila suzukii,Diptera,male,non-genital,accessory gland,size,temperature,robustness,Faria; Flavio Silva and Areal; Mariana and Bitner-Mathe; Blanche Christine,Thermal Stress and Adult Fitness in a <i>Drosophila suzukii</i> Neotropical Propagule,2023,NEOTROPICAL ENTOMOLOGY,10.1007/s13744-023-01075-9
15,10,Piezodorus guildinii,Hemiptera,female,non-genital,ovary ,developmental rate,seasonality,plasticity,Zerbino; Maria S. and Altier; Nora A. and Panizzi; Antonio R.,Seasonal occurrence of <i>Piezodorus guildinii</i> on different plants including morphological and physiological changes,2015,JOURNAL OF PEST SCIENCE,10.1007/s10340-014-0630-2
