ID_paper,yes/no (final filtering),type,author,title,abstract,year,journal,doi,source,filename,n_duplicates
1,no,Article,Yoon; Kane and Williams; Stephanie and Duncan; Elizabeth J.,DNA methylation machinery is involved in development and reproduction in the viviparous pea aphid (Acyrthosiphon pisum),"Epigenetic mechanisms, such as DNA methylation, have been proposed to mediate plastic responses in insects. The pea aphid (Acyrthosiphon pisum), like the majority of extant aphids, displays cyclical parthenogenesis - the ability of mothers to switch the reproductive mode of their offspring from reproducing parthenogenetically to sexually in response to environmental cues. The pea aphid genome encodes two paralogs of the de novo DNA methyltransferase gene, dnmt3a and dnmt3x. Here we show, using phylogenetic analysis, that this gene duplication event occurred at least 150 million years ago, likely after the divergence of the lineage leading to the Aphidomorpha (phylloxerans, adelgids and true aphids) from that leading to the scale insects (Coccomorpha) and that the two paralogs are maintained in the genomes of all aphids examined. We also show that the mRNA of both dnmt3 paralogs is maternally expressed in the viviparous aphid ovary. During development both paralogs are expressed in the germ cells of embryos beginning at stage 5 and persisting throughout development. Treatment with 5-azactyidine, a chemical that generally inhibits the DNA methylation machinery, leads to defects of oocytes and early-stage embryos and causes a proportion of later stage embryos to be born dead or die soon after birth. These phenotypes suggest a role for DNA methyltransferases in reproduction, consistent with that seen in other insects. Taking the vast evolutionary history of the dnmt3 paralogs, and the localisation of their mRNAs in the ovary, we suggest there is a role for dnmt3a and/or dnmt3x in early development, and a role for DNA methylation machinery in reproduction and development of the viviparous pea aphid. © 2024 The Author(s). Insect Molecular Biology published by John Wiley & Sons Ltd on behalf of Royal Entomological Society.",2024,Insect Molecular Biology,10.1111/imb.12936,Scopus,scopus1-9.bib,1
2,no,Article,Yahong; Zheng and Lingping; Shi and Jing; Zhang and Huixia; Li and Lingli; Wu and Qian; Zhao,Plasticity in moth mating behavior and ejaculate proteomic diversity induced by male competition,"In male competition, large and costly ejaculates are advantageous. Prior research on male accessory gland secretions in Plutella xylostella left open questions about how males modulate their mating behaviors and ejaculate composition allocation in response to varying levels of competition. The current study aimed to delve deeper into these unexplored facets. A totally of 928 ejaculate proteins were identified across males exposed to different competition conditions. Notably, males courting under non–, low-, and high-competition scenarios exhibited 867, 635, and 858 ejaculate proteins, respectively. Approximately 10% of these ejaculate proteins displayed variations that aligned with changes in competition intensity. Subsequent analyses focused on the proteins transferred to females, revealing that 44% of ejaculate proteins were transferred, with 37 proteins exhibiting differential expression. Functional analyses uncovered their crucial roles in sperm maturation, motility, and capacitation. Our findings reveal adaptive adjustments in ejaculate protein abundance and transmission in P. xylostella as a response to varying competition levels. Moreover, fluorescent sperm labeling indicated higher sperm transfer during low competition correlated with shorter sperm length. Furthermore, evidence suggests that males shorten their courtship duration and extend their mating duration when faced with competition. These results illustrate how competition drives ejaculate investment and behavioral plasticity, offering valuable insights for advancements in assisted reproductive technologies and pest management strategies. © 2024",2024,Journal of Insect Physiology,10.1016/j.jinsphys.2024.104673,Scopus,scopus1-9.bib,2
3,no,Article,Volp; Trevor M. and Zalucki; Myron P. and Furlong; Michael J.,Ontogenetic Changes in the Feeding Behaviour of Helicoverpa armigera Larvae on Pigeonpea (Cajanus cajan) Flowers and Pods,"Despite substantial research examining caterpillar–plant interactions, changes in the feeding behaviour of lepidopteran larvae as they develop are poorly understood. In this study, we investigated ontogenetic changes in the behaviour of Helicoverpa armigera larvae feeding on reproductive structures of pigeonpea (Cajanus cajan). Specifically, we examined the preference for and avoidance of pigeonpea flowers and pods of first, second, third, and fourth instar H. armigera larvae. We also conducted a no-choice assay to compare the ability of third and fourth instar larvae to penetrate pigeonpea pod walls, which act as a physical defence against herbivory. When presented with a choice between pigeonpea pods and flowers, different instars behaved differently. First and second instar larvae largely avoided pigeonpea pods, instead feeding on flowers; third instar larvae initially avoided pods, but by 24 h, did not strongly discriminate between the structures; and fourth instars demonstrated a preference for pods. When initially placed on pods, first instars were slower than other instars to leave these structures, despite pods being suboptimal feeding sites for small caterpillars. We identified a clear instar-specific ability to penetrate through the pod wall to reach the seeds. Most third instar larvae were unable to penetrate the pod wall, whereas most fourth instars succeeded. Third instars suffered a physiological cost (measured by relative growth rate) when boring through the pod wall, which was not observed in fourth instars. Our study further illuminates the insect–plant interactions of the H. armigera–pigeonpea system and provides evidence for the significant changes in feeding behaviour that may occur during lepidopteran larval development. © 2024 by the authors.",2024,Plants,10.3390/plants13050696,Scopus,scopus1-9.bib,1
4,yes,Article,Hu; Yonggang and Crabtree; Jordan R. and Macagno; Anna L. M. and Moczek; Armin P.,Histone deacetylases regulate organ-specific growth in a horned beetle,"Background: Nutrient availability is among the most widespread means by which environmental variability affects developmental outcomes. Because almost all cells within an individual organism share the same genome, structure-specific growth responses must result from changes in gene regulation. Earlier work suggested that histone deacetylases (HDACs) may serve as epigenetic regulators linking nutritional conditions to trait-specific development. Here we expand on this work by assessing the function of diverse HDACs in the structure-specific growth of both sex-shared and sex-specific traits including evolutionarily novel structures in the horned dung beetle Onthophagus taurus. Results: We identified five HDAC members whose downregulation yielded highly variable mortality depending on which HDAC member was targeted. We then show that HDAC1, 3, and 4 operate in both a gene- and trait-specific manner in the regulation of nutrition-responsiveness of appendage size and shape. Specifically, HDAC 1, 3, or 4 knockdown diminished wing size similarly while leg development was differentially affected by RNAi targeting HDAC3 and HDAC4. In addition, depletion of HDAC3 transcript resulted in a more rounded shape of genitalia at the pupal stage and decreased the length of adult aedeagus across all body sizes. Most importantly, we find that HDAC3 and HDAC4 pattern the morphology and regulate the scaling of evolutionarily novel head and thoracic horns as a function of nutritional variation. Conclusion: Collectively, our results suggest that both functional overlap and division of labor among HDAC members contribute to morphological diversification of both conventional and recently evolved appendages. More generally, our work raises the possibility that HDAC-mediated scaling relationships and their evolution may underpin morphological diversification within and across insect species broadly. © The Author(s) 2024.",2024,EvoDevo,10.1186/s13227-024-00223-5,Scopus,scopus1-9.bib,2
5,no,Article,Blackie; Laura and Gaspar; Pedro and Mosleh; Salem and Lushchak; Oleh and Kong; Lingjin and Jin; Yuhong and Zielinska; Agata P. and Cao; Boxuan and Mineo; Alessandro and Silva; Bryon and Ameku; Tomotsune and Lim; Shu En and Mao; Yanlan and Prieto-Godino; Lucía and Schoborg; Todd and Varela; Marta and Mahadevan; L. and Miguel-Aliaga; Irene,The sex of organ geometry,"Organs have a distinctive yet often overlooked spatial arrangement in the body1–5. We propose that there is a logic to the shape of an organ and its proximity to its neighbours. Here, by using volumetric scans of many Drosophila melanogaster flies, we develop methods to quantify three-dimensional features of organ shape, position and interindividual variability. We find that both the shapes of organs and their relative arrangement are consistent yet differ between the sexes, and identify unexpected interorgan adjacencies and left–right organ asymmetries. Focusing on the intestine, which traverses the entire body, we investigate how sex differences in three-dimensional organ geometry arise. The configuration of the adult intestine is only partially determined by physical constraints imposed by adjacent organs; its sex-specific shape is actively maintained by mechanochemical crosstalk between gut muscles and vascular-like trachea. Indeed, sex-biased expression of a muscle-derived fibroblast growth factor-like ligand renders trachea sexually dimorphic. In turn, tracheal branches hold gut loops together into a male or female shape, with physiological consequences. Interorgan geometry represents a previously unrecognized level of biological complexity which might enable or confine communication across organs and could help explain sex or species differences in organ function. © The Author(s) 2024.",2024,Nature,10.1038/s41586-024-07463-4,Scopus,scopus1-9.bib,1
6,no,Article,Wu; Yaxi and Wang; Huimin and Hu; Zhihao and Pan; Mengchen and Wu; Yanan and Guo; Xiaojiao and Ge; Jin and Wang; Zhengjun and Yang; Meiling,The pyrexia channel remodels egg-laying of Liriomyza huidobrensis in response to temperature change,"BACKGROUND: The pea leafminer, Liriomyza huidobrensis, is one of the most important insect pests on vegetables and ornamentals. The survival and egg-laying behavior of leafminers are markedly affected by the environment temperature. However, the mechanisms underlying the relationship between egg-laying and temperature are still largely unknown. RESULTS: Here, we find that leafminers have evolved an adaptive strategy to overcome the stress from high or low temperature by regulating oviposition-punching plasticity. We further show that this oviposition-punching plasticity is mediated by the expression of pyx in the ovipositor when subjected to disadvantageous temperature. Specifically, down-regulation of pyx expression in leafminers under low temperature stress led to a significant decrease in the swing numbers of ovipositor and puncture area of the egg spot, and consequently the lower amount of egg-laying compared to leafminers at ambient temperature. Conversely, activation of pyx expression under high temperature stress increased the swing numbers and puncture area, still resulting in a reduction of egg-laying amount. CONCLUSION: Thereby, leafminers are able to coordinate pyx channel expression level and accordingly depress the oviposition. Our study uncovers a molecular mechanism underlying the adaptive strategy in insects that can avoid disadvantageous temperature for reproducing offspring. © 2024 Society of Chemical Industry. © 2024 Society of Chemical Industry.",2024,Pest Management Science,10.1002/ps.8135,Scopus,scopus1-9.bib,1
7,no,Article,Rivera-Rincóon; N. and Altindag; U.H. and Amin; R. and Graze; R.M. and Appel; A.G. and Stevison; L.S.,“A comparison of thermal stress response between Drosophila melanogaster and Drosophila pseudoobscura reveals differences between species and sexes”,"The environment is changing faster than anticipated due to climate change, making species more vulnerable to its impacts. The level of vulnerability of species is influenced by factors such as the degree and duration of exposure, as well as the physiological sensitivity of organisms to changes in their environments, which has been shown to vary among species, populations, and individuals. Here, we compared physiological changes in fecundity, critical thermal maximum (CTmax), respiratory quotient (RQ), and DNA damage in ovaries in response to temperature stress in two species of fruit fly, Drosophila melanogaster (25 vs. 29.5 °C) and Drosophila pseudoobscura (20.5 vs. 25 °C). The fecundity of D. melanogaster was more affected by high temperatures when exposed during egg through adult development, while D. pseudoobscura was most significantly affected when exposed to high temperatures exclusively during egg through pupal development. Additionally, D. melanogaster males exhibited a decrease of CTmax under high temperatures, while females showed an increase of CTmax when exposed to high temperatures during egg through adult development. while D. pseudoobscura females and males showed an increased CTmax only when reared at high temperatures during egg through pupae development. Moreover, both species showed an acceleration in oogenesis and an increase in apoptosis due to heat stress. These changes can likely be attributed to key differences in the geographic range, thermal range, development time, and other different factors between these two systems. Through this comparison of variation in physiology and developmental response to thermal stress, we found important differences between species and sexes that suggest future work needs to account for these factors separately in understanding the effects of constant increased temperatures. © 2024",2024,Journal of Insect Physiology,10.1016/j.jinsphys.2024.104616,Scopus,scopus1-9.bib,1
8,no,Article,Orchard; Ian and Lange; Angela B.,The neuroendocrine and endocrine systems in insect – Historical perspective and overview,"A complex cascade of events leads to the initiation and maintenance of a behavioral act in response to both internally and externally derived stimuli. These events are part of a transition of the animal into a new behavioral state, coordinated by chemicals that bias tissues and organs towards a new functional state of the animal. This form of integration is defined by the neuroendocrine (or neurosecretory) system and the endocrine system that release neurohormones or hormones, respectively. Here we describe the classical neuroendocrine and endocrine systems in insects to provide an historic perspective and overview of how neurohormones and hormones support plasticity in behavioral expression. Additionally, we describe peripheral tissues such as the midgut, epitracheal glands, and ovaries, which, whilst not necessarily being endocrine glands in the pure sense of the term, do produce and release hormones, thereby providing even more flexibility for inter-organ communication and regulation. © 2023 Elsevier B.V.",2024,Molecular and Cellular Endocrinology,10.1016/j.mce.2023.112108,Scopus,scopus1-9.bib,2
9,no,Article,Zhang; Xiafang and Xie; Nianxia and Ding; Guo and Ning; Dongdong and Dai; Wei and Xiong; Zijun and Zhong; Wenjiang and Zuo; Dashuang and Zhao; Jie and Zhang; Pei and Liu; Chengyuan and Li; Qiye and Ran; Hao and Liu; Weiwei and Zhang; Guojie,An evolutionarily conserved pathway mediated by neuroparsin-A regulates reproductive plasticity in ants,"Phenotypic plasticity displayed by an animal in response to different environmental conditions is supposedly crucial for its survival and reproduction. The female adults of some ant lineages display phenotypic plasticity related to reproductive role. In pharaoh ant queens, insemination induces substantial physiological/behavioral changes and implicates remarkable gene regulatory network (GRN) shift in the brain. Here, we report a neuropeptide neuroparsin A (NPA) showing a conserved expression pattern associated with reproductive activity across ant species. Knock-down of NPA in unmated queen enhances ovary activity, whereas injection of NPA peptide in fertilized queen suppresses ovary activity. We found that NPA mainly affected the downstream gene JHBP in the ovary, which is positively regulated by NPA and suppression of which induces elevated ovary activity, and shadow which is negatively regulated by NPA. Furthermore, we show that NPA was also employed into the brain-ovary axis in regulating the worker reproductive changes in other distantly related species, such as Harpegnathos venator ants. Some female ants display phenotypic plasticity related to reproduction, such as the transition between gyne and queen castes. This study shows that the neuropeptide neuroparsin A mediates substantial physiological changes in response to insemination across ant species, acting via ovarian endocrine pathways.",2024,PLoS Biology,10.1371/journal.pbio.3002763,Scopus,scopus1-9.bib,2
10,yes,Article,Stahlschmidt; Zachary R. and Bui; Daniel and Chen; Jessica and Zhao; William,Availability of mates and food influence the plasticity in strategies mediating life-history tradeoffs in an insect,"Different life-history strategies can be employed to navigate the tradeoff between investment into reproductive and somatic tissues, and plasticity in life-history strategies may be one of animals' most important tools to counter ongoing global change. Therefore, we factorially manipulated the availability of two critical resources – mates and food – to determine plasticity in life-history investment strategies. We tested several hypotheses using females of the variable field cricket Gryllus lineaticeps because it exhibits a wing dimorphism that mediates a tradeoff between investment into ovary mass and dispersal (flight capacity) during early adulthood – long-winged females' investment into flight muscle obligates reduced ovaries, while short-winged females lack flight but instead heavily invest into ovaries. The availability of food and mates played different roles in the plasticity of life-history strategies. Song exposure as a proxy for mate density exerted its strongest (negative) effects on somatic tissue and flight capacity. Meanwhile, food availability strongly influenced food intake, which exerted its strongest (positive) effects on reproduction. Raw traits of reproductive and somatic investment, such as ovary and non-ovary mass gained, respectively, positively covaried; yet, reproduction-soma relationships disappeared or became negative (i.e. characterizing tradeoffs) when resource (food) acquisition was accounted for. Thus, failure to account for food intake can lead to misdiagnoses of the plasticity of reproduction-related tradeoffs. Further, the negative effect of flight capacity on ovary mass gain was dependent on male song (acoustic × flight interaction) and food availability (food × flight interaction). These were likely adaptive responses because they allowed flight-capable females to invest heavily into reproduction when conditions for reproduction were favorable (i.e. abundance of food and mates). In sum, we uncovered multi-directional effects among dispersal capacity, resource availability, and the plasticity of the tradeoff between investment into reproductive and non-reproductive tissues. © 2023 Nordic Society Oikos. Published by John Wiley & Sons Ltd.",2024,OIKOS,10.1111/oik.10337,Scopus,scopus1-9.bib,2
